incident_number,call_type,call_type_group,call_time,Street,call_origin,mental_health,drug_related,dv_related,alcohol_related,Area,AreaName,Latitude,Longitude,Hour,DayOfWeek
18BU020014,Noise,Quality of Life,9/1/18 0:08,S Union St,Phone,0,0,0,1,E,SouthEnd,44.47489546,-73.20784788,12:00 AM,Saturday
18BU020015,Noise,Quality of Life,9/1/18 1:01,S Union St,Phone,0,0,0,0,D,Downtown,44.47880228,-73.21068085,1:00 AM,Saturday
18BU020016,Sexual Assault,Assault,9/1/18 1:12,NA,Phone,0,0,0,1,E,SouthEnd,NA,NA,1:00 AM,Saturday
18BU020017,Welfare Check,Public Service,9/1/18 1:30,Pearl St/Church St,Phone,0,0,0,1,B,OldNorthEnd,44.48114561,-73.21340556,1:00 AM,Saturday
18BU020018,Noise,Quality of Life,9/1/18 1:33,Pine St,Phone,0,0,0,0,E,SouthEnd,44.47363608,-73.21544542,1:00 AM,Saturday
18BU020019,Foot Patrol,Public Service,9/1/18 1:40,Marketplace,Officer/Radio,0,0,0,0,D,Downtown,44.47604501,-73.2131367,1:00 AM,Saturday
18BU020020,Domestic Disturbance,Domestic,9/1/18 1:59,NA,Phone,0,0,0,0,C,UniversityHillSection,NA,NA,1:00 AM,Saturday
18BU020021,Disturbance,Quality of Life,9/1/18 2:04,N Willard St,Phone,1,0,1,1,C,UniversityHillSection,44.48955788,-73.20512852,2:00 AM,Saturday
18BU020022,Disturbance,Quality of Life,9/1/18 2:13,North Ave,Phone,0,0,0,0,A,NewNorthEnd,44.51395407,-73.25806377,2:00 AM,Saturday
18BU020023,Trespass,Other,9/1/18 2:15,King St,Phone,1,0,0,0,D,Downtown,44.47601461,-73.21474553,2:00 AM,Saturday
18BU020024,Assault - Aggravated,Assault,9/1/18 3:06,Maple St,911,0,0,0,1,E,SouthEnd,44.47331533,-73.20766487,3:00 AM,Saturday
18BU020025,Suspicious Event,Public Service,9/1/18 3:38,North St/Elmwood Ave,Phone,0,0,0,0,B,OldNorthEnd,44.48571314,-73.21321812,3:00 AM,Saturday
18BU020026,Domestic Disturbance,Domestic,9/1/18 6:01,NA,911,0,0,1,0,B,OldNorthEnd,NA,NA,6:00 AM,Saturday
18BU020027,Parking,Motor Vehicle,9/1/18 6:06,College St/St Paul St,Phone,0,0,0,0,D,Downtown,44.47885566,-73.21297177,6:00 AM,Saturday
18BU020028,Alarm,Public Service,9/1/18 7:01,Main St,Phone,0,0,0,0,D,Downtown,44.4760852,-73.21420914,7:00 AM,Saturday
18BU020029,Animal Problem,Animal,9/1/18 8:50,Lakeview Ter,Phone,0,0,0,0,NA,NA,44.485947,-73.2260996,8:00 AM,Saturday
18BU020030,Assist - Public,Public Service,9/1/18 9:00,S Prospect St,Phone,0,0,0,0,E,SouthEnd,44.47634324,-73.20286799,9:00 AM,Saturday
18BU020031,Alarm,Public Service,9/1/18 9:45,Pine St,Phone,0,0,0,0,E,SouthEnd,44.45971755,-73.21405755,9:00 AM,Saturday
