GEO.id2,county,child_poverty_pct,child_poverty_moe
50001,"Addison County, Vermont",9,2.4
50003,"Bennington County, Vermont",20.1,4.7
50005,"Caledonia County, Vermont",16.4,3.8
50007,"Chittenden County, Vermont",12.2,1.8
50009,"Essex County, Vermont",19.5,5.4
50011,"Franklin County, Vermont",9.1,3
50013,"Grand Isle County, Vermont",10.5,5.7
50015,"Lamoille County, Vermont",19.4,5.4
50017,"Orange County, Vermont",15.8,2.9
50019,"Orleans County, Vermont",15.7,2.7
50021,"Rutland County, Vermont",14.6,2.7
50023,"Washington County, Vermont",18.1,4
50025,"Windham County, Vermont",18.7,3.6
50027,"Windsor County, Vermont",14.2,3.1
