Name,Type,Address,Town,Capacity
7 Royce Street,Residential Care Facility,7 Royce Street,Rutland,5
Allenwood at Pillsbury Manor,Residential Care Facility,90 Allen Road,South Burlington,35
Alternatives,Residential Care Facility,10 Lincoln Street,Springfield,6
Arbors,Residential Care Facility,687 Harbor Road,Shelburne,52
Arbors Nursing Home,Nursing Home,687 Harbor Road,Shelburne,12
Arioli Community Care Home,Residential Care Facility,15 Arioli Avenue,Barre,6
Ascutney House,Residential Care Facility,5157 US Route 5,Ascutney,16
Autumn House,Residential Care Facility,141 South Branch Street,Bennington,4
Ave Maria Community Care Home,Residential Care Facility,19 School Street,Richford,17
Barbara's 1840 House,Residential Care Facility,147 Granger Street,Rutland,6
Barre Gardens Nursing and Rehab,Nursing Home,378 Prospect Street,Barre,96
Bel Aire Center (NH),Nursing Home,35 Bel-Aire Drive,Newport,44
Bel Aire Center (RCF),Residential Care Facility,35 Bel-Aire Drive,Newport,14
Bennington Health & Rehab,Nursing Home,2 Blackberry Lane,Bennington,100
Berlin Health & Rehab Center,Nursing Home,98 Hospitality Drive,Barre,141
Blue Spruce Home for the Retired,Residential Care Facility,70 Birch Street,Bradford,8
Bradford Oasis,Residential Care Facility,92 Cottage Street,Bradford,11
Bromley Manor,Residential Care Facility,2595 Depot Street,Manchester Center,33
Brookdale at Fillmore Pond,Residential Care Facility,300 Village Lane,Bennington,109
Brookwood,Residential Care Facility,2 School Street,North Springfield,17
Brownway Residence,Residential Care Facility,328 School Street,Enosburg Falls,56
Burlington Health and Rehab,Nursing Home,300 Pearl Street,Burlington,126
Canterbury Inn Inc,Residential Care Facility,46 Cherry Street,St. Johnsbury,42
Cathedral Square Senior Living,Assisted Living Residence,3 Cathedral Square,Burlington,36
Cedar Hill Health Care Center,Nursing Home,49 Cedar Hill Drive,Windsor,39
Cedar Lane Home,Residential Care Facility,76 Cedar Lane,Danville,4
Centers for Living and Rehab,Nursing Home,160 Hospital Drive,Bennington,130
Converse Home,Assisted Living Residence,272 Church Street,Burlington,72
Copley House Community Care Home,Residential Care Facility,379 Washington Highway,Morrisville,22
Craftsbury Community Care Center,Residential Care Facility,1784 East Craftsburt Road,Craftsbury,24
Crescent Manor Care Centers,Nursing Home,312 Crescent Blvd.,Bennington,90
Davis Home,Residential Care Facility,45 State Street,Windsor,6
Derby Green Nursing Home,Nursing Home,PO Box 24,Derby,23
East Terrace,Residential Care Facility,71 East Terrace,South Burlington,6
Eastview at Middlebury,Residential Care Facility,100 Eastview Terrace,Middlebury,62
Elderwood at Burlington,Nursing Home,98 Starr Farm Road,Burlington,150
Emma's Place,Residential Care Facility,212 North Main Street,Wallingford,5
Equinox Terrace,Residential Care Facility,324 Equinox Terrace Road,Manchester Center,92
Ethan Allen Residence,Residential Care Facility,1200 North Avenue,Burlington,39
Fairwinds Residential Care Home,Residential Care Facility,108 Mechanic Street,North Bennington,8
Forest Hill Residential Care Home,Residential Care Facility,213 Clark Drive,Hyde Park,21
Fortier's Community Care Home,Residential Care Facility,127 Bailey Street,Barre,10
Four Seasons Care Home,Residential Care Facility,135 South Main Street,Northfield,37
Frances Atkinson Residence for the Retired,Residential Care Facility,4717 Main Street,Newbury,13
Franklin County Rehab Center,Nursing Home,110 Fairfax Road,St. Albans,64
Gatling House Group Home,Residential Care Facility,106 JOHN STREET,Bennington,4
Gazebo Senior Living - Gazebo Apartments,Residential Care Facility,1510 WILLISTON ROAD,South Burlington,40
Gazebo Senior Living - Gazebo North,Residential Care Facility,1530 WILLISTON ROAD,South Burlington,35
Gill Odd Fellows Home,Nursing Home,8 Gill Terrace,Ludlow,46
Gingras Community Care Home,Residential Care Facility,24 AVERILL STREET,Barre,8
Giordano Manor,Residential Care Facility,34 CANADA STREET,Swanton,21
Green Mountain Nursing & Rehabilitation,Nursing Home,475 Ethan Allen Avenue,Colchester,73
Greensboro Nursing Home,Nursing Home,47 Maggie's Pond Road,Greensboro,30
Harvey House,Residential Care Facility,1997 MAIN STREET,Castleton,8
Heaton Woods,Residential Care Facility,10 HEATON STREET,Montpelier,51
Helen Porter Healthcare & Rehabilitation Ctr,Nursing Home,30 Porter Drive,Middlebury,105
Hill Street,Residential Care Facility,201 Hill Street,Barre,6
Hilltop Recovery Residence,Residential Care Facility,94 Westminster Terrace,Bellows Falls,8
Historic Homes of Runnemede - Evarts House,Residential Care Facility,34 Maxwell Perkins Lane,Windsor,14
Historic Homes of Runnemede - Stoughton House,Residential Care Facility,46 Main Street,Windsor,27
Holiday House Residential Care Home,Residential Care Facility,642 Sheldon Road,St. Albans,42
Holton (Memorial) Home,Residential Care Facility,158 Western Avenue,Brattleboro,35
Homestead at Pillsbury,Residential Care Facility,64 Harborview Drive,St. Albans,56
Johnson Care Home,Residential Care Facility,919 Route 100,Hancock,6
Kindred Transitional Care & Rehabilitation - Birchwood Terrace (FKA Birchwood Terrace Healthcare),Nursing Home,43 Starr Farm Road,Burlington,144
King's Daughters Home,Residential Care Facility,10 Rugg Street,St. Albans,16
Kingdom Way Group Home,Residential Care Facility,97 Kingdom Way,Newport,6
Kirby House,Residential Care Facility,64 South Main Street,Waterbury,43
KLM Enterprises,Residential Care Facility,88 A-B River Street,Wallingford,4
Lakeview Community Care Home,Residential Care Facility,322 St. Paul Street,Burlington,16
Lenny Burke's Farm,Residential Care Facility,1409 Route 7 South,Wallingford,5
Lincoln House,Residential Care Facility,120 Hill Street,Barre,31
Living Well Residence,Residential Care Facility,71 Maple Street,Bristol,15
Loch Lomond,Residential Care Facility,700 Willson Road,North Concord,16
Loretto Home,Residential Care Facility,59 Meadow Street,Rutland,57
Mane's House,Residential Care Facility,127 Union Street,Bennington,11
Mansfield Place,Assisted Living Residence,18 Carmichael Street,Essex Junction,120
Maple Hill Residential Care Home,Residential Care Facility,26 Union Street,Waterbury,14
Maple Lane Nursing Home,Nursing Home,"60 Maple Lane, PO Box 500",Barton,71
Maple Lane Retirement Home,Residential Care Facility,33 Maple Lane,Barton,16
Maple Ridge Memory Care,Residential Care Facility,6 Freeman Woods,Essex,56
Maplewood Recovery Residence,Residential Care Facility,195 Stratton Rd.,Rutland,4
Margaret Pratt Community,Assisted Living Residence,210 Plateau Acres,Bradford,
Mayo Healthcare,Nursing Home,71 Richardson Street,Northfield,50
Mayo Residential Care,Residential Care Facility,610 Water Street,Northfield,48
Meadows at East Mountain,Assisted Living Residence,157 Heritage Hill Place,Rutland,92
Meadowview Recovery Residence,Residential Care Facility,330 Linden Street,Brattleboro,6
Memory Care at Allen Brook,Assisted Living Residence,99 Allen Brook Lane,Williston,15
Menig Nursing Home,Nursing Home,215 Tom Wicker Lane,Randolph Center,30
Averte Bradford House,Residential Care Facility,996 Lower Plain,Bradford,12
Merten's House,Nursing Home,73 River Street,Woodstock,14
Metiver Residential Care Home,Residential Care Facility,27 Brooklyn Street,Barre,11
Michaud Memorial Manor,Residential Care Facility,47 Herrick Road,Derby Line,34
Misty Heather Morn Community Care Home,Residential Care Facility,174 Blissville Road,Hydeville,16
Mountain View Center,Nursing Home,9 Haywood Avenue,Rutland,158
Mountain View of Vershire,Residential Care Facility,397 McIver Road,Vershire,8
Newport Health Care Ctr,Nursing Home,148 Prouty Drive,Newport,50
Newport Residential Care Center,Residential Care Facility,148 Prouty Drive,Newport,8
Our House at Park Terrace,Residential Care Facility,48 South Main Street,Rutland,12
Our House Outback,Residential Care Facility,196 Mussey Street,Rutland,12
Our House Residential Care Home,Residential Care Facility,162 Jackson Avenue,Rutland,10
Our House Too Residential Care Home,Residential Care Facility,69 1/2 Allen Street,Rutland,13
Our Lady of Providence Residence,Residential Care Facility,47 West Spring Street,Winooski,48
Our Lady of the Meadows,Residential Care Facility,1 Pinnacle Meadows,Richford,71
Owen House,Residential Care Facility,3 Union Street,Fair Haven,8
Pennington House,Residential Care Facility,1822 North Avenue,Burlington,6
Pillsbury Manor South,Residential Care Facility,20 Harbor View Road,South Burlington,70
Pine Heights at Brattleboro Center for Nursing and Rehabilitation,Nursing Home,187 Oak Grove Avenue,Brattleboro,80
Pine Knoll Community Care Home,Residential Care Facility,601 Red Village Road,Lyndonville,10
Pines Rehab & Health Center,Nursing Home,601 Red Village Road,Lyndonville,60
Pleasant Street House,Residential Care Facility,59 SOUTH PLEASANT STREET,Randolph,3
Residential Care at the Manor,Residential Care Facility,577 WASHINGTON HIGHWAY,Morrisville,28
Ringer's Home Care,Residential Care Facility,195 GREEN STREET,Vergennes,9
Riverbend Residential Care Home,Residential Care Facility,307 VT ROUTE 110,Chelsea,22
Rivers Edge Community Care Home,Residential Care Facility,5 HUNT STREET,Bennington,24
Riverview Life Skills Center,Residential Care Facility,197 HIGHLANDER DRIVE,Jeffersonville,11
Roadhouse,Residential Care Facility,5 GIUDICI STREET,Barre,3
Rutland Healthcare and Rehabilitation Center,Nursing Home,46 Nichols Street,Rutland,103
Saltis Home,Residential Care Facility,1141 MAIN STREET,Castleton,14
Second Spring North,Residential Care Facility,1071 VT ROUTE 15,Westford,8
Shard Villa,Residential Care Facility,1177 SHARD VILLA ROAD,Salisbury,17
Single Steps,Residential Care Facility,62 BARRE STREET,Montpelier,8
South Bay Home,Residential Care Facility,121 Kingdom Way,Newport,4
Springfield Health & Rehab Ctr,Nursing Home,105 Chester Road,Springfield,96
St Albans Healthcare and Rehab,Nursing Home,596 Sheldon Road,St. Albans,93
St. Johnsbury Health & Rehab Ctr,Nursing Home,1248 Hospital Drive,St. Johnsbury,99
St. Joseph Kervick Residence III,Residential Care Facility,131 Convent Avenue,Rutland,55
St. Joseph Kervick Residence IV,Residential Care Facility,131 Convent Avenue,Rutland,2
St. Joseph's Residential Care Home,Residential Care Facility,243 North Prospect Street,Burlington,41
Sterling House at Richmond,Residential Care Facility,61 FARR ROAD,Richmond,20
Sterling House at Rockingham,Residential Care Facility,33 ATKINSON STREET,Bellows Falls,17
The Bradley House,Residential Care Facility,65 HARRIS AVENUE,Brattleboro,28
The Gables at East Mountain,Residential Care Facility,1 GABLES PLACE,Rutland,20
The Gary Residence,Residential Care Facility,149 MAIN STREET,Montpelier,17
Homestead,Residential Care Facility,73 River Street,Woodstock,23
The Manor,Nursing Home,577 Washington Highway,Morrisville,72
The McClure Miller VNA Respite House,Residential Care Facility,3113 Roosevelt Highway,Colchester,12
The Pines at Rutland Center for Nursing and Rehabilitation,Nursing Home,99 Allen Street,Rutland,125
The Residence at Otter Creek (ALR),Assisted Living Residence,350 LODGE ROAD,Middlebury,62
The Residence at Otter Creek (RCF),Residential Care Facility,350 LODGE ROAD,Middlebury,44
The Residence at Quarry Hill,Assisted Living Residence,465 QUARRY HILL ROAD,South Burlington,125
The Residence at Shelburne Bay East,Assisted Living Residence,185 PINE HAVEN SHORES RD,Shelburne,110
The Residence at Shelburne Bay West,Residential Care Facility,185 PINE HAVEN SHORE ROAD,Shelburne,24
The Villa Rehab,Nursing Home,7 Forest Hill Drive,St. Albans,30
Thompson House Nursing Home,Nursing Home,80 Maple Street,Brattleboro,43
Thompson Residential Home,Residential Care Facility,80 Maple Street,Brattleboro,17
Twin Maples Community Care Home,Residential Care Facility,612 GAGE STREET,Bennington,15
Union House Nursing Home,Nursing Home,3086 Glover Street,Glover,44
Valley Terrace,Assisted Living Residence,2820 Christian Street,White River Junction,71
Valley View Home for the Retired,Residential Care Facility,69 OAK LANE,Fairlee,7
Vergennes Residential Care,Residential Care Facility,34 NORTH STREET,Vergennes,18
Vermont Veterans' Home,Nursing Home,325 North Street,Bennington,130
Vermont Veterans' Home Domiciliary,Residential Care Facility,325 NORTH STREET,Bennington,8
