origin,name,city,state,country,latitude,longitude,count
ABE,Lehigh Valley International,Allentown,PA,USA,40.65236278,-75.44040167,10
ABI,Abilene Regional,Abilene,TX,USA,32.41132,-99.68189722,1
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,38
ABY,Southwest Georgia Regional,Albany,GA,USA,31.535515000000004,-84.19447333,1
ACK,Nantucket Memorial,Nantucket,MA,USA,41.25305194,-70.06018139,2
ACT,Waco Regional,Waco,TX,USA,31.61128833,-97.23051917,1
ACV,Arcata,Arcata/Eureka,CA,USA,40.97811528,-124.1086189,6
ACY,Atlantic City International,Atlantic City,NJ,USA,39.45758333,-74.57716667,3
ADK,Adak,Adak,AK,USA,51.87796389,-176.6460306,1
ADQ,Kodiak,Kodiak,AK,USA,57.74996778,-152.4938553,1
AEX,Alexandria International,Alexandria,LA,USA,31.32737167,-92.54855611,3
AGS,Bush,Augusta,GA,USA,33.369955,-81.96449611,3
AKN,King Salmon,King Salmon,AK,USA,58.67680167,-156.6492175,2
ALB,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,19
ALO,Waterloo Municipal,Waterloo,IA,USA,42.55708139,-92.40034361,1
AMA,Amarillo International,Amarillo,TX,USA,35.2193725,-101.7059272,7
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,28
ASE,Aspen-Pitkin Co/Sardy,Aspen,CO,USA,39.22316,-106.868845,10
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,173
ATW,Outagamie County Regional,Appleton,WI,USA,44.25740806,-88.51947556,9
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,52
AVL,Asheville Regional,Asheville,NC,USA,35.43619444,-82.54180556,7
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,USA,41.33814944,-75.72426750000001,7
AZO,Kalamazoo County,Kalamazoo,MI,USA,42.234875,-85.55205749999999,6
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,33
BET,Bethel,Bethel,AK,USA,60.77977639,-161.8379975,1
BFL,Meadows,Bakersfield,CA,USA,35.43359806,-119.05676809999999,9
BGM,Binghamton Regional,Binghamton,NY,USA,42.20848278,-75.97961361,1
BGR,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889,8
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,32
BIL,Billings Logan Intl,Billings,MT,USA,45.8076625,-108.54286110000001,6
BIS,Bismarck Municipal,Bismarck,ND,USA,46.77411111,-100.74672220000001,3
BJI,Bemidji-Beltrami County,Bemidji,MN,USA,47.50942417,-94.93372333,1
